id,title,artist,genre,source
58548079,Рок,ИГРА МИРОВ,rock,track_search
558,Rock That Body,Black Eyed Peas,rock,track_search
103247532,Rock,BUSHIDO ZHO,rock,track_search
1710811,We Will Rock You,Queen,rock,track_search
53497069,Rock Bottom,Radek,rock,track_search
29598557,Рок,Женя Любич,rock,track_search
118939147,Rock Star,FRHAD,rock,track_search
802,"Rock, Rock, Rock",Sparks,rock,track_search
113662,Rock & Roll Queen,The Subways,rock,track_search
61206877,Тяжёлый рок,Bad Connection,rock,track_search
140215411,Rock That Body,Gordon,rock,track_search
140421443,Rock Your Body,KAZIOL,rock,track_search
38081853,Rock The Body,Ledur,rock,track_search
122963819,Rock Your Body,kets4eki,rock,track_search
140849650,Rock That Body,Lumarii,rock,track_search
8114387,Rock Superstar,ArthurKill,rock,track_search
10184050,Rock And Roll (In A Black Hole),Rob Zombie,rock,track_search
140280881,Im Rock,Raykirie,rock,track_search
140384871,Rock That Body,PureMiND,rock,track_search
28036304,Rock You Like a Hurricane,Scorpions,rock,track_search
4348063,Outro,Black Moon,rock,artist_tracks
17386795,When We Roll Through,Hyjak,rock,artist_tracks
17783721,Stuck off the Realness (feat. Rock of Heltah Skeltah),Shabaam Sahdeeq,rock,artist_tracks
48853215,Dirty Weapons,Aul purpis,rock,artist_tracks
25310907,"Bis & Sun Ruck & Rock (feat. Sean Price of Heltah Skeltah, Rock of Heltah Skeltah & Born Sun)",Canibus,rock,artist_tracks
45631446,Remember Me,AllinMixtapes,rock,artist_tracks
4350157,Stomp Thru,Smif-n-Wessun,rock,artist_tracks
126265604,If You Don't Know,Erick Sermon,rock,artist_tracks
4349018,King Kong,Sean Price,rock,artist_tracks
4228964,Slap Boxing,Sean Price,rock,artist_tracks
4349032,P. Body,Sean Price,rock,artist_tracks
36239710,Clans & Cliks,Sean Price,rock,artist_tracks
4228967,Jail Shit,Sean Price,rock,artist_tracks
4349023,Church,Sean Price,rock,artist_tracks
114866968,U Turn,Andy,rock,artist_tracks
131789086,Dna,Rock,rock,artist_tracks
97786559,Stadium Rock,Classic Rock,rock,artist_tracks
97786562,"One Life, Just Live It",Classic Rock,rock,artist_tracks
97786558,Uplifting Airwaves,Classic Rock,rock,artist_tracks
97786566,The March of Light,Classic Rock,rock,artist_tracks
114098937,rock 2023,Run Music,rock,additional_search
131865417,Rock2023,Tommy-yang,rock,additional_search
113860892,rocks 2023,Comfortable Morning,rock,additional_search
65850086,Rock,House Music,rock,additional_search
127662731,Rock Your Body,Alex Greenhouse,rock,additional_search
113724012,Rocky,Peter Orloff,rock,additional_search
1695045,Rock Of Ages (2023-A),Leadbelly with Sarah & Jim  Garland,rock,additional_search
129026632,I Am A Rock,The Headliners,rock,additional_search
109417290,Rock Me Baby,Jeff Driller,rock,additional_search
114641013,Rock Ya Body,Atmozfears,rock,additional_search
135054971,Jazz,byekid,jazz,track_search
61556465,JAZZ,Basic Instinct,jazz,track_search
54024975,Jazz,Sampladelic,jazz,track_search
49732426,Jazz,New Orleans Jazz Club,jazz,track_search
49637450,Jazz,Jazz Mr. Truba,jazz,track_search
4394428,Jazz,"Marco Soundee,Eric van Aro",jazz,track_search
47374125,Jazz Dance,Kvistum,jazz,track_search
22435822,Afro Jazz,Side,jazz,track_search
117999322,Jazz Dance,YungRemi,jazz,track_search
126461266,Jazz Dance,El Jorjo,jazz,track_search
114535558,Jazz & Sex,0BM,jazz,track_search
18873903,Jazz Folk,Clay Jenkins,jazz,track_search
144341602,Afro Jazz,SLO,jazz,track_search
121754121,Jazz Hiphop,LUKE,jazz,track_search
72411011,Jazz Bass,Edit,jazz,track_search
41919198,Jazz Version,Agorvey,jazz,track_search
58786077,Jazz Dance,Michal Martyniuk,jazz,track_search
120418204,Ai Jazz,Andrés,jazz,track_search
3334752,All That Jazz,The Sound of Musical Orchestra,jazz,track_search
104877752,Jazz 60s,lyestouchek,jazz,track_search
